tweet,location,request_type,urgency
Medical emergency reported in Bhopal. Need Medical.,Bhopal,Medical,Non-Urgent
Looking for volunteers in Bhubaneswar for Food & Supplies help.,Bhubaneswar,Food & Supplies,Non-Urgent
Looking for volunteers in Guwahati for Humanitarian help.,Guwahati,Humanitarian,Non-Urgent
"Supplies running low in Mysuru, need Humanitarian.",Mysuru,Humanitarian,Urgent
Requesting Humanitarian support in Bhubaneswar. Please help.,Bhubaneswar,Humanitarian,Urgent
Medical emergency reported in Goa. Need Medical.,Goa,Medical,Non-Urgent
Requesting Food & Supplies support in Bhubaneswar. Please help.,Bhubaneswar,Food & Supplies,Urgent
Children in Noida require urgent Food & Supplies support.,Noida,Food & Supplies,Urgent
Senior citizens need Food & Supplies assistance in Hyderabad.,Hyderabad,Food & Supplies,Non-Urgent
Senior citizens need Humanitarian assistance in Pune.,Pune,Humanitarian,Urgent
"Family stranded in Itanagar, require Humanitarian.",Itanagar,Humanitarian,Urgent
"Family stranded in Aizawl, require Medical.",Aizawl,Medical,Non-Urgent
"Supplies running low in Vadodara, need Food & Supplies.",Vadodara,Food & Supplies,Urgent
"Supplies running low in Chennai, need Medical.",Chennai,Medical,Non-Urgent
Looking for volunteers in Jammu for Food & Supplies help.,Jammu,Food & Supplies,Urgent
Senior citizens need Medical assistance in Mumbai.,Mumbai,Medical,Urgent
Urgent call for Food & Supplies aid in Thiruvananthapuram.,Thiruvananthapuram,Food & Supplies,Non-Urgent
"Family stranded in Chennai, require Medical.",Chennai,Medical,Non-Urgent
"Family stranded in Gurugram, require Food & Supplies.",Gurugram,Food & Supplies,Non-Urgent
Looking for volunteers in Lucknow for Food & Supplies help.,Lucknow,Food & Supplies,Urgent
"Family stranded in Indore, require Humanitarian.",Indore,Humanitarian,Non-Urgent
Need immediate assistance in Udaipur. Situation critical.,Udaipur,Humanitarian,Non-Urgent
Children in Bengaluru require urgent Food & Supplies support.,Bengaluru,Food & Supplies,Urgent
Looking for volunteers in Bhubaneswar for Food & Supplies help.,Bhubaneswar,Food & Supplies,Urgent
"Family stranded in Bengaluru, require Humanitarian.",Bengaluru,Humanitarian,Urgent
"Family stranded in Udaipur, require Food & Supplies.",Udaipur,Food & Supplies,Non-Urgent
Senior citizens need Food & Supplies assistance in Siliguri.,Siliguri,Food & Supplies,Urgent
"Family stranded in Ahmedabad, require Humanitarian.",Ahmedabad,Humanitarian,Non-Urgent
"Family stranded in Warangal, require Humanitarian.",Warangal,Humanitarian,Non-Urgent
"Supplies running low in Nagpur, need Humanitarian.",Nagpur,Humanitarian,Urgent
Looking for volunteers in Goa for Food & Supplies help.,Goa,Food & Supplies,Urgent
Medical emergency reported in Leh. Need Medical.,Leh,Medical,Urgent
Community in Pune asking for Food & Supplies assistance.,Pune,Food & Supplies,Urgent
Senior citizens need Humanitarian assistance in Siliguri.,Siliguri,Humanitarian,Non-Urgent
Children in Bhubaneswar require urgent Humanitarian support.,Bhubaneswar,Humanitarian,Urgent
Community in Aizawl asking for Medical assistance.,Aizawl,Medical,Non-Urgent
"Family stranded in Warangal, require Food & Supplies.",Warangal,Food & Supplies,Non-Urgent
Senior citizens need Food & Supplies assistance in Mumbai.,Mumbai,Food & Supplies,Urgent
"Supplies running low in Surat, need Humanitarian.",Surat,Humanitarian,Urgent
Children in Thiruvananthapuram require urgent Humanitarian support.,Thiruvananthapuram,Humanitarian,Non-Urgent
Children in Kochi require urgent Humanitarian support.,Kochi,Humanitarian,Non-Urgent
Looking for volunteers in Bhopal for Humanitarian help.,Bhopal,Humanitarian,Urgent
Children in Vadodara require urgent Humanitarian support.,Vadodara,Humanitarian,Urgent
"Family stranded in Patna, require Humanitarian.",Patna,Humanitarian,Urgent
Urgent call for Food & Supplies aid in Indore.,Indore,Food & Supplies,Urgent
Urgent call for Medical aid in Warangal.,Warangal,Medical,Urgent
Senior citizens need Humanitarian assistance in Kolkata.,Kolkata,Humanitarian,Urgent
Looking for volunteers in Jammu for Humanitarian help.,Jammu,Humanitarian,Non-Urgent
"Family stranded in Jaipur, require Medical.",Jaipur,Medical,Non-Urgent
Community in Jammu asking for Humanitarian assistance.,Jammu,Humanitarian,Non-Urgent
"Supplies running low in Vadodara, need Food & Supplies.",Vadodara,Food & Supplies,Urgent
Looking for volunteers in Kochi for Medical help.,Kochi,Medical,Non-Urgent
Children in Chennai require urgent Humanitarian support.,Chennai,Humanitarian,Urgent
Community in Kochi asking for Food & Supplies assistance.,Kochi,Food & Supplies,Non-Urgent
"Family stranded in Leh, require Food & Supplies.",Leh,Food & Supplies,Non-Urgent
Looking for volunteers in Bhopal for Humanitarian help.,Bhopal,Humanitarian,Non-Urgent
Community in Pune asking for Medical assistance.,Pune,Medical,Non-Urgent
Looking for volunteers in Cuttack for Humanitarian help.,Cuttack,Humanitarian,Urgent
Urgent call for Medical aid in Bengaluru.,Bengaluru,Medical,Urgent
Medical emergency reported in Jammu. Need Medical.,Jammu,Medical,Non-Urgent
Looking for volunteers in Cuttack for Medical help.,Cuttack,Medical,Urgent
Community in Bengaluru asking for Food & Supplies assistance.,Bengaluru,Food & Supplies,Non-Urgent
Requesting Food & Supplies support in Surat. Please help.,Surat,Food & Supplies,Non-Urgent
